HL     : 0.733357 1.000000 1.000000
HL     : 0.849390 1.000000 0.000000
HL     : 0.785641 0.000000 1.000000
HL     : 0.499419 0.683436 0.683436
HL     : 0.733357 1.000000 1.000000
HL     : 0.843951 1.000000 0.038868
HL     : 0.814642 0.038868 1.000000
HL     : 0.520208 0.537854 0.537854
HL     : 0.733357 1.000000 1.000000
HL     : 0.421185 0.355432 0.683436
HL     : 0.599914 0.683436 0.355432
HL     : 0.451805 0.838651 0.237057
HL     : 0.733357 1.000000 1.000000
HL     : 0.581789 0.418971 0.581029
HL     : 0.568143 0.581029 0.418971
HL     : 0.693739 0.705171 0.044660
HL     : 0.785260 1.000000 0.000000
HL     : 0.837804 1.000000 0.366872
HL     : 0.689896 0.000000 0.000000
HL     : 0.436758 0.418971 0.581029
HL     : 0.753115 1.000000 0.038868
HL     : 0.783533 1.000000 0.075707
HL     : 0.561737 0.227187 0.227187
HL     : 0.686555 0.119425 0.788420
HL     : 0.417846 0.355432 0.683436
HL     : 0.594430 0.186997 0.888710
HL     : 0.561737 0.227187 0.227187
HL     : 0.599481 0.214054 0.693790
HL     : 0.405992 0.418971 0.581029
HL     : 0.555802 0.225879 0.523952
HL     : 0.689896 0.000000 0.000000
HL     : 0.617259 0.101946 0.326165
HL     : 0.784632 0.000000 1.000000
HL     : 0.689896 0.000000 0.000000
HL     : 0.592272 0.366872 1.000000
HL     : 0.611664 0.581029 0.418971
HL     : 0.790560 0.038868 1.000000
HL     : 0.530736 0.227187 0.227187
HL     : 0.650219 0.075707 1.000000
HL     : 0.710864 0.788420 0.119425
HL     : 0.393502 0.683436 0.355432
HL     : 0.530736 0.227187 0.227187
HL     : 0.627784 0.888710 0.186997
HL     : 0.482191 0.598717 0.309128
HL     : 0.685445 0.581029 0.418971
HL     : 0.387645 0.683436 0.683436
HL     : 0.513914 0.523952 0.225879
HL     : 0.638592 0.888889 0.111111
HL     : 0.725417 0.683436 0.683436
HL     : 0.679010 0.418971 0.581029
HL     : 0.809364 0.581029 0.418971
HL     : 0.733357 1.000000 1.000000
HL     : 0.452117 0.537854 0.537854
HL     : 0.707362 0.875010 0.032834
HL     : 0.718290 0.032834 0.875010
HL     : 0.535952 0.648854 0.648854
HL     : 0.663213 0.838651 0.237057
HL     : 0.770988 0.214054 0.693790
HL     : 0.619669 0.598717 0.309128
HL     : 0.609136 0.398371 0.899336
HL     : 0.590819 0.705171 0.044660
HL     : 0.451486 0.555556 0.444444
HL     : 0.658664 0.075683 0.352428
HL     : 0.561624 0.316564 0.316564
